column,name,dtype,semantic,missing_pct,numeric_summary,categorical_summary
orb,orb,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 10.098863380598695, 'median': 10.0, 'std': 3.7221556206996333, 'var': 13.854442464705873, 'min': 0.0, 'p10': 6.0, 'p25': 7.0, 'p50': 10.0, 'p75': 12.0, 'p90': 15.0, 'max': 28.0, 'skew': 0.4368296215832389, 'kurtosis': 0.1787386568442364, 'iqr': 5.0, 'mad': 3.0, 'outlier_count_iqr': 213}",
drb,drb,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 34.031904118838625, 'median': 34.0, 'std': 5.410392665138673, 'var': 29.272348790986356, 'min': 16.0, 'p10': 27.0, 'p25': 30.0, 'p50': 34.0, 'p75': 38.0, 'p90': 41.0, 'max': 56.0, 'skew': 0.1712057369200074, 'kurtosis': -0.024486356341335114, 'iqr': 8.0, 'mad': 4.0, 'outlier_count_iqr': 33}",
trb,trb,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 44.13076749943732, 'median': 44.0, 'std': 6.5484094674974145, 'var': 42.881666554009776, 'min': 22.0, 'p10': 36.0, 'p25': 40.0, 'p50': 44.0, 'p75': 48.0, 'p90': 53.0, 'max': 71.0, 'skew': 0.16506074826177472, 'kurtosis': 0.041105414480703484, 'iqr': 8.0, 'mad': 4.0, 'outlier_count_iqr': 226}",
ast,ast,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 23.655413009228, 'median': 23.0, 'std': 5.175289571830679, 'var': 26.783622152299376, 'min': 7.0, 'p10': 17.0, 'p25': 20.0, 'p50': 23.0, 'p75': 27.0, 'p90': 30.0, 'max': 50.0, 'skew': 0.21119818829667042, 'kurtosis': 0.04237913474081756, 'iqr': 7.0, 'mad': 3.0, 'outlier_count_iqr': 124}",
stl,stl,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 7.645284717533198, 'median': 7.0, 'std': 2.920185193302513, 'var': 8.527481563183235, 'min': 0.0, 'p10': 4.0, 'p25': 6.0, 'p50': 7.0, 'p75': 9.0, 'p90': 11.0, 'max': 22.0, 'skew': 0.43977040291005304, 'kurtosis': 0.24050971137585542, 'iqr': 3.0, 'mad': 2.0, 'outlier_count_iqr': 695}",
blk,blk,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 4.83749718658564, 'median': 5.0, 'std': 2.479114173079024, 'var': 6.146007083161293, 'min': 0.0, 'p10': 2.0, 'p25': 3.0, 'p50': 5.0, 'p75': 6.0, 'p90': 8.0, 'max': 20.0, 'skew': 0.6360501347284802, 'kurtosis': 0.6126769852925631, 'iqr': 3.0, 'mad': 2.0, 'outlier_count_iqr': 407}",
tov,tov,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 13.44738915147423, 'median': 13.0, 'std': 3.856098513191479, 'var': 14.869495743437534, 'min': 1.0, 'p10': 9.0, 'p25': 11.0, 'p50': 13.0, 'p75': 16.0, 'p90': 18.0, 'max': 30.0, 'skew': 0.28739989281895206, 'kurtosis': 0.04798652906408751, 'iqr': 5.0, 'mad': 3.0, 'outlier_count_iqr': 175}",
pf,pf,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 20.16548503263561, 'median': 20.0, 'std': 4.253570883278522, 'var': 18.092865259074824, 'min': 6.0, 'p10': 15.0, 'p25': 17.0, 'p50': 20.0, 'p75': 23.0, 'p90': 26.0, 'max': 42.0, 'skew': 0.2607230850225594, 'kurtosis': 0.19934329770328274, 'iqr': 6.0, 'mad': 3.0, 'outlier_count_iqr': 83}",
pts,pts,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 108.34824442943957, 'median': 108.0, 'std': 12.786683721051196, 'var': 163.49928058219564, 'min': 64.0, 'p10': 92.0, 'p25': 100.0, 'p50': 108.0, 'p75': 117.0, 'p90': 125.0, 'max': 168.0, 'skew': 0.12602163914298753, 'kurtosis': 0.03979361074788246, 'iqr': 17.0, 'mad': 9.0, 'outlier_count_iqr': 141}",
+/-,+/-,float64,"{'inferred_type': 'unknown', 'confidence': 0.2}",1.0,"{'count': 0, 'missing': 17772, 'mean': None, 'median': None, 'std': None, 'var': None, 'min': None, 'p10': None, 'p25': None, 'p50': None, 'p75': None, 'p90': None, 'max': None, 'skew': None, 'kurtosis': None, 'iqr': None, 'mad': None, 'outlier_count_iqr': None}",
